ID,Name,Move Number,Move Name,Move Type,Wheel Size,Power,Action phrase,Additional Rules
1,Dialga,1,Miss,Red,12,0,misses,
1,Dialga,2,Roar of Time,White,36,110,knocks out,"If the battle opponent is knocked out, the next turn will always be the other player's"
1,Dialga,3,Miss,Red,8,0,misses,
1,Dialga,4,Dragon Claw,White,40,60,knocks out,
2,Tauros,1,Tackle,White,8,30,knocks out,
2,Tauros,2,Miss,Red,16,0,misses,
2,Tauros,3,Take Down,White,24,80,knocks out,
2,Tauros,4,Miss,Red,12,0,misses,
2,Tauros,5,Tackle,White,8,30,knocks out,
2,Tauros,6,Kick Away,Purple,28,1,kicks away,The battle opponent is knocked 2 steps back (the opponent chooses the point) and gains Wait
3,Armaldo,1,Miss,Red,24,0,misses,
3,Armaldo,2,Protect,Blue,12,0,protects against,
3,Armaldo,3,Pierce Through,White,20,120,knocks out,
3,Armaldo,4,Iron Tail,White,40,40,knocks out,
4,Charmander,1,Smokescreen,Purple,28,1,gives wait,The battle opponent now has wait
4,Charmander,2,Flame Tail,White,24,40,knocks out,
4,Charmander,3,Scratch,White,32,40,knocks out,
4,Charmander,4,Miss,Red,12,0,misses,
5,Mightyena,1,Taunt,Purple,24,2,forces respin,"If this Pokemon or the opponent Pokemon spins purple, they must respin for that turn."
5,Mightyena,2,Crunch,White,28,50,knocks out,
5,Mightyena,3,Bite,White,32,40,knocks out,
5,Mightyena,4,Miss,Red,12,0,misses,
6,Ekans,1,Spit poison,Purple,28,2,poisons,The battle opponent becomes poisoned.
6,Ekans,2,Wrap,White,24,20,knocks out,
6,Ekans,3,Wrap,White,24,20,knocks out,
6,Ekans,4,Miss,Red,20,0,misses,
7,Bayleef,1,Poison Powder,Purple,20,1,poisons,The battle opponent becomes poisoned.
7,Bayleef,2,Body Slam,White,56,40,knocks out,
7,Bayleef,3,Miss,Red,20,0,knocks out,
8,Snubbull,1,Roar,Purple,28,2,kicks away,The battle opponent is knocked 1 step back (the opponent chooses the point) and gains wait.
8,Snubbull,2,Bite,White,32,51,knocks out,
8,Snubbull,3,Paw,White,32,10,knocks out ,
8,Snubbull,4,Miss,Red,4,0,knocks out,
9,Plusle,1,Tackle,White,28,30,knocks out,
9,Plusle,2,Spark,White,48,20,knocks out,
9,Plusle,3,Miss,Red,20,0,misses,
10,Seedot,1,Explosion,Purple,28,2,explodes,This Pokemon and all neighbor Pokemon faint
10,Seedot,2,Bullet Seed,White,40,20x,knocks out,
10,Seedot,3,Tackle,White,24,10,knocks out,
10,Seedot,4,Miss,Red,4,0,misses,
11,Metagross,1,Hyper Beam*,White,24,150,knocks out,"The battle opponent is knocked out, the next turn will always be the other player's."
11,Metagross,2,Metal Claw,White,16,80,knocks out,
11,Metagross,3,Metal Claw,White,16,80,knocks out,
11,Metagross,4,Bullet Punch,Gold,20,30,knocks out,
11,Metagross,5,Dodge,Blue,4,0,dodges,
11,Metagross,6,Dodge,Blue,4,0,dodges,
11,Metagross,7,Dodge,Blue,4,0,dodges,
11,Metagross,8,Dodge,Blue,4,0,dodges,
11,Metagross,9,Miss,Red,4,0,misses,
12,Sentret,1,Step Away,Blue,28,0,steps away,This Pokemon mvoes 1-3 steps back.
12,Sentret,2,Tail Smack,White,24,40,knocks out ,
12,Sentret,3,Scratch,White,12,20,knocks out ,
12,Sentret,4,Scratch,White,12,20,knocks out ,
12,Sentret,5,Miss,Red,12,0,misses,
12,Sentret,6,Miss,Red,8,0,misses,
13,Golem,1,Rock Blast,White,60x,60,knocks out,
13,Golem,2,Rock Throw,White,24,40,knocks out,
13,Golem,3,Rock Wall*,White,24,30,knocks out,"If the battle opponent's attack is below 120 damage, this pokemon cannot be knocked out."
13,Golem,4,Miss,Red,12,0,misses,
14,Spinarak,1,Constrict,Purple,36,2,gives wait,The battle opponent now has wait.
14,Spinarak,2,Poison Sting,Purple,16,1,poisons,The battle opponent becomes poisoned.
14,Spinarak,3,Scratch,White,20,20,knocks out,
14,Spinarak,4,Scratch,White,20,20,knocks out,
14,Spinarak,5,Miss,Red,4,0,misses,
15,Aipom,1,Miss,Red,20,0,misses,
15,Aipom,2,Scratch,White,56,20,knocks out,
15,Aipom,3,Tail Smack,White,20,30,knocks out,
17,Murkrow,1,Peck,White,24,10,knocks out,
17,Murkrow,2,Whirlwind,Purple,32,1,benches,The battle opponent is moved to the bench and gains wait.
17,Murkrow,3,Astonish,White,28,30,knocks out,
17,Murkrow,4,Miss,Red,12,0,misses,
18,Caterpie,1,Miss,Red,8,0,misses,
18,Caterpie,2,String Wrap,Purple,52,1,slows,Attaches a -1MP marker to the battle opponent.
18,Caterpie,3,Miss,Red,4,0,misses,
18,Caterpie,4,Tackle,White,32,10,knocks out,
19,Mudkip,1,Water Gun,White,48,30,knocks out,
19,Mudkip,2,Take Down,White,12,50,knocks out,
